date,hour,temp,dewp,humid,wind_speed,precip,visib
2025-11-02,0,43.0,40.0,89.0,0.0,0.0,10.0
2025-11-02,1,41.0,38.5,90.7,0.0,0.0,10.0
2025-11-02,2,40.0,38.0,92.5,0.0,0.0,10.0
2025-11-02,3,39.0,37.0,92.4,0.0,0.0,10.0
2025-11-02,4,40.0,38.0,92.5,0.0,0.0,10.0
2025-11-02,5,39.0,37.0,92.4,0.0,0.0,10.0
2025-11-02,6,39.0,37.0,92.4,0.0,0.0,10.0
2025-11-02,7,45.0,41.0,85.8,0.0,0.0,10.0
2025-11-02,8,53.0,44.0,71.4,0.0,0.0,10.0
2025-11-02,9,61.0,41.0,47.7,3.0,0.0,10.0
2025-11-02,10,64.0,39.0,39.7,4.0,0.0,10.0
2025-11-02,11,66.0,37.0,34.2,6.0,0.0,10.0
2025-11-02,12,67.0,37.0,33.0,8.0,0.0,10.0
2025-11-02,13,68.0,38.0,33.2,8.0,0.0,10.0
2025-11-02,14,66.0,37.0,34.2,8.0,0.0,10.0
2025-11-02,15,65.0,37.0,35.4,8.0,0.0,10.0
2025-11-02,16,59.0,38.0,45.5,6.0,0.0,10.0
2025-11-02,17,56.0,38.0,50.7,4.0,0.0,10.0
2025-11-02,18,56.0,41.0,57.0,5.0,0.0,10.0
2025-11-02,19,56.0,43.0,61.6,6.0,0.0,10.0
2025-11-02,20,55.0,45.0,68.9,3.0,0.0,10.0
2025-11-02,21,56.0,45.0,66.5,3.0,0.0,10.0
2025-11-02,22,54.0,48.0,80.1,3.0,0.0,10.0
2025-11-02,23,52.0,50.0,92.9,7.0,0.0,10.0
2025-11-03,0,52.0,50.0,92.9,3.0,0.0,9.0
2025-11-03,1,52.0,51.0,96.4,3.0,0.0,6.0
2025-11-03,2,52.0,51.0,96.4,9.0,0.1,4.0
2025-11-03,3,52.0,51.0,96.4,6.0,0.1,5.0
2025-11-03,4,52.0,52.0,100.0,5.0,0.1,4.0
2025-11-03,5,52.0,52.0,100.0,3.0,0.1,5.0
2025-11-03,6,53.0,52.0,96.4,9.0,0.0,4.0
2025-11-03,7,53.0,52.0,96.4,5.0,0.0,5.0
2025-11-03,8,55.0,53.0,93.0,7.0,0.0,9.0
2025-11-03,9,54.0,53.0,96.4,10.0,0.0,5.0
2025-11-03,10,54.0,53.0,96.4,10.0,0.0,4.0
2025-11-03,11,55.0,54.0,96.4,5.0,0.0,7.0
2025-11-03,12,58.0,54.0,86.5,3.0,0.0,10.0
2025-11-03,13,61.0,53.0,74.9,4.0,0.0,10.0
2025-11-03,14,62.0,51.0,67.2,4.0,0.0,10.0
2025-11-03,15,63.0,48.0,58.0,6.0,0.0,10.0
2025-11-03,16,58.0,51.0,77.5,6.0,0.0,10.0
2025-11-03,17,53.0,51.0,92.9,4.0,0.0,10.0
2025-11-03,18,53.0,51.0,92.9,4.0,0.0,10.0
2025-11-03,19,55.0,49.0,80.2,7.0,0.0,10.0
2025-11-03,20,54.0,45.0,71.5,6.0,0.0,10.0
2025-11-03,21,53.0,41.0,63.6,8.0,0.0,10.0
2025-11-03,22,52.0,38.0,58.7,7.0,0.0,10.0
2025-11-03,23,50.0,37.0,60.8,5.0,0.0,10.0
2025-11-04,0,48.0,37.0,65.5,5.0,0.0,10.0
2025-11-04,1,48.0,37.0,65.5,5.0,0.0,10.0
2025-11-04,2,43.0,37.0,79.2,4.0,0.0,10.0
2025-11-04,3,44.0,37.0,76.2,3.0,0.0,10.0
2025-11-04,4,42.0,37.0,82.3,3.0,0.0,10.0
2025-11-04,5,44.0,37.0,76.2,4.0,0.0,10.0
2025-11-04,6,44.0,37.0,76.2,0.0,0.0,10.0
2025-11-04,7,48.0,39.0,70.8,5.0,0.0,10.0
